Song Title,Artist,Year,Link,,,,,,
If I ain’t got you,Alicia Keys,2004,Alicia Keys - If I Ain't Got You (Official HD Video),,,,,,
My Boo,Usher,2004,"Usher, Alicia Keys - My Boo (Official Video)",,,,,,
Yeah,Usher,2004,"Usher - Yeah! (Official Video) ft. Lil Jon, Ludacris",,,,,,
Numb,Linkin Park,2004,Numb (Official Music Video) [4K UPGRADE] – Linkin Park,,,,,,
Milkshake,Kelis,2004,Kelis - Milkshake (Official Music Video),,,,,,
Sun Rising Up,Deux,2005,Deux feat. Rebeka Brown - Sun Rising Up (Main Vocal Mix),,,,,,
We Belong Together,Mariah Carey,2005,Mariah Carey - We Belong Together (Official Music Video),,,,,,
Let Me Love You,Mario,2005,Mario - Let Me Love You (Official Video),,,,,,
Fix You,Coldplay,2005,Coldplay - Fix You (Official Video),,,,,,
Lose Control ,Missy Elliot,2005,Missy Elliott - Lose Control (feat. Ciara & Fat Man Scoop) [Official Music Video],,,,,,
The Cure and The Cause,Fish Go Deep,2006,Fish Go Deep & Tracey K -The Cure & The Cause (Dennis Ferrer Remix) [Full Length] 2006,,,,,,
Stupid Girls,Pink,2006,P!nk - Stupid Girls,,,,,,
My Love,Justin Timberlake,2006,Justin Timberlake - My Love,,,,,,
Crazy,Gnarls Barkley,2006,Gnarls Barkley - Crazy (Official Video) [4K Remaster],,,,,,
Buttons,The Pussycat Dolls,2006,The Pussycat Dolls - Buttons (Official Music Video) ft. Snoop Dogg,,,,,,
Deja Vu,Beyonce,2007,Beyoncé - Deja Vu (MTV Video Version) ft. JAY-Z,,,,,,
Irreplaceable,Beyonce,2007,Beyoncé - Irreplaceable,,,,,,
Big Girls don't cry,Fergie,2007,Fergie - Big Girls Don't Cry (Personal) (Official Music Video),,,,,,
What goes around comes around ,Justin Timberlake,2007,What Goes Around...Comes Around (Official Video),,,,,,
U + Ur Hand,Pink,2007,P!NK - U + Ur Hand,,,,,,
Bleeding Love,Leona Lewis,2008,Leona Lewis - Bleeding Love (Official Video),,,,,,
Don’t Stop the Music,Rihanna,2008,Rihanna - Don't Stop The Music,,,,,,
Closer,Ne-Yo,2008,Ne-Yo - Closer (Official Music Video),,,,,,
So What,Pink,2008,P!nk - So What (Official Video),,,,,,
No One,Alicia Keys,2008,Alicia Keys - No One (Official Music Video),,,,,,
Sky and Sand,Paul Kalkbrenner,2009,Paul Kalkbrenner - Sky and Sand (Official Music Video),,,,,,
Deep Fear,Sideckick,2009,Sidekick - Deep Fear,,,,,,
Empire State of Mind,Jay-Z,2009,JAŸ-Z - Empire State Of Mind ft. Alicia Keys,,,,,,
Hey Hey,Dennis Ferrer,2009,DENNIS FERRER - Hey Hey [Official Video],,,,,,
Day n Nite,Kid Cudi,2009,Kid Cudi vs. Crookers - Day 'n' Night (Official Video),,,,,,
Superman,Black Coffee,2010,Superman,,,,,,
Just the way you are,Bruno Mars,2010,Bruno Mars - Just The Way You Are (Official Music Video),,,,,,
Canoa,Gregor Salto,2010,DJ Gregory & Gregor Salto - Canoa,,,,,,
Love the way you lie,Eminem,2010,Eminem - Love The Way You Lie ft. Rihanna,,,,,,
What’s my name,Rihanna,2010,Rihanna - What's My Name? ft. Drake,,,,,,
Grenade,Bruno Mars,2011,Bruno Mars - Grenade (Official Music Video),,,,,,
We Found Love,Rihanna,2011,Rihanna - We Found Love ft. Calvin Harris,,,,,,
Rolling in the deep,Adele,2011,Adele - Rolling in the Deep (Official Music Video),,,,,,
Born this way,Lady Gaga,2011,Lady Gaga - Born This Way (Official Music Video),,,,,,
Someone like you,Adele,2011,Adele - Someone Like You (Official Music Video),,,,,,
Something Special,Miguel Campbell,2012,Miguel Campbell - Something Special (Original Mix),,,,,,
Diamonds,Rihanna,2012,Rihanna - Diamonds,,,,,,
Set fire to the rain,Adele,2012,Set Fire to the Rain,,,,,,
Locked out of heaven,Bruno Mars,2012,Bruno Mars - Locked Out Of Heaven (Official Music Video),,,,,,
Titanium,Sia,2012,David Guetta - Titanium ft. Sia (Official Video),,,,,,
When I was your man,Bruno Mars,2013,Bruno Mars - When I Was Your Man (Official Music Video),,,,,,
Pour It Up,Rihanna,2013,Rihanna - Pour It Up (Explicit),,,,,,
Get Lucky,Daft Punk,2013,"Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers",,,,,,
Blurred Lines,Robin Thicke,2013,"Robin Thicke - Blurred Lines ft. T.I., Pharrell",,,,,,
Just give me a reason,Pink,2013,P!nk - Just Give Me A Reason ft. Nate Ruess,,,,,,
Happy,Pharrel Williams,2014,Pharrell Williams - Happy (Official Video),,,,,,
All of Me,John Legend,2014,John Legend - All of Me (Official Video),,,,,,
Latch,Disclosure,2014,Disclosure - Latch ft. Sam Smith,,,,,,
Rather Be,Clean Bandit,2014,Clean Bandit - Rather Be ft. Jess Glynne [Official Video],,,,,,
La La La,Naughty Boy,2014,Naughty Boy - La la la ft. Sam Smith (Official Video),,,,,,
Earned It,The Weekend,2015,The Weeknd - Earned It (Fifty Shades Of Grey),,,,,,
The Hills,The Weekend,2015,The Weeknd - The Hills,,,,,,
How deep is your love,Calvin Harris,2015,Calvin Harris & Disciples - How Deep Is Your Love,,,,,,
Thinking out loud,Ed Sheeran,2015,Ed Sheeran - Thinking Out Loud (Official Music Video),,,,,,
Can’t feel my face,The Weekend,2015,The Weeknd - Can't Feel My Face (Official Video),,,,,,
I’m Yours,Alessia Cara,2016,Alessia Cara - I’m Yours (Official Audio),,,,,,
