year,title,artist,link_title,youtube_id,search_url
2004,If I ain’t got you,Alicia Keys,Alicia Keys - If I Ain't Got You (Official HD Video),Ju8Hr50Ckwk,https://www.youtube.com/results?search_query=Alicia%20Keys%20-%20If%20I%20Ain%27t%20Got%20You%20%28Official%20HD%20Video%29
2004,My Boo,Usher,"Usher, Alicia Keys - My Boo (Official Video)",fPgf2meEX1w,https://www.youtube.com/results?search_query=Usher%2C%20Alicia%20Keys%20-%20My%20Boo%20%28Official%20Video%29
2004,Yeah,Usher,"Usher - Yeah! (Official Video) ft. Lil Jon, Ludacris",GxBSyx85Kp8,https://www.youtube.com/results?search_query=Usher%20-%20Yeah%21%20%28Official%20Video%29%20ft.%20Lil%20Jon%2C%20Ludacris
2004,Numb,Linkin Park,Numb (Official Music Video) [4K UPGRADE] – Linkin Park,kXYiU_JCYtU,https://www.youtube.com/results?search_query=Numb%20%28Official%20Music%20Video%29%20%5B4K%20UPGRADE%5D%20%E2%80%93%20Linkin%20Park
2004,Milkshake,Kelis,Kelis - Milkshake (Official Music Video),6AwXKJoKJz4,https://www.youtube.com/results?search_query=Kelis%20-%20Milkshake%20%28Official%20Music%20Video%29
2005,Sun Rising Up,Deux,Deux feat. Rebeka Brown - Sun Rising Up (Main Vocal Mix),IqJ5Y-3qymY,https://www.youtube.com/results?search_query=Deux%20feat.%20Rebeka%20Brown%20-%20Sun%20Rising%20Up%20%28Main%20Vocal%20Mix%29
2005,We Belong Together,Mariah Carey,Mariah Carey - We Belong Together (Official Music Video),0habxsuXW4g,https://www.youtube.com/results?search_query=Mariah%20Carey%20-%20We%20Belong%20Together%20%28Official%20Music%20Video%29
2005,Let Me Love You,Mario,Mario - Let Me Love You (Official Video),H64QG4UsrGI,https://www.youtube.com/results?search_query=Mario%20-%20Let%20Me%20Love%20You%20%28Official%20Video%29
2005,Fix You,Coldplay,Coldplay - Fix You (Official Video),k4V3Mo61fJM,https://www.youtube.com/results?search_query=Coldplay%20-%20Fix%20You%20%28Official%20Video%29
2005,Lose Control,Missy Elliot,Missy Elliott - Lose Control (feat. Ciara & Fat Man Scoop) [Official Music Video],na7lIb09898,https://www.youtube.com/results?search_query=Missy%20Elliott%20-%20Lose%20Control%20%28feat.%20Ciara%20%26%20Fat%20Man%20Scoop%29%20%5BOfficial%20Music%20Video%5D
2006,The Cure and The Cause,Fish Go Deep,Fish Go Deep & Tracey K -The Cure & The Cause (Dennis Ferrer Remix) [Full Length] 2006,ikJCO_FrQQ8,https://www.youtube.com/results?search_query=Fish%20Go%20Deep%20%26%20Tracey%20K%20-The%20Cure%20%26%20The%20Cause%20%28Dennis%20Ferrer%20Remix%29%20%5BFull%20Length%5D%202006
2006,Stupid Girls,Pink,P!nk - Stupid Girls,BR4yQFZK9YM,https://www.youtube.com/results?search_query=P%21nk%20-%20Stupid%20Girls
2006,My Love,Justin Timberlake,Justin Timberlake - My Love,FqP3-_F0YTs,https://www.youtube.com/results?search_query=Justin%20Timberlake%20-%20My%20Love
2006,Crazy,Gnarls Barkley,Gnarls Barkley - Crazy (Official Video) [4K Remaster],-N4jf6rtyuw,https://www.youtube.com/results?search_query=Gnarls%20Barkley%20-%20Crazy%20%28Official%20Video%29%20%5B4K%20Remaster%5D
2006,Buttons,The Pussycat Dolls,The Pussycat Dolls - Buttons (Official Music Video) ft. Snoop Dogg,VCLxJd1d84s,https://www.youtube.com/results?search_query=The%20Pussycat%20Dolls%20-%20Buttons%20%28Official%20Music%20Video%29%20ft.%20Snoop%20Dogg
2007,Deja Vu,Beyonce,Beyoncé - Deja Vu (MTV Video Version) ft. JAY-Z,RQ9BWndKEgs,https://www.youtube.com/results?search_query=Beyonc%C3%A9%20-%20Deja%20Vu%20%28MTV%20Video%20Version%29%20ft.%20JAY-Z
2007,Irreplaceable,Beyonce,Beyoncé - Irreplaceable,2EwViQxSJJQ,https://www.youtube.com/results?search_query=Beyonc%C3%A9%20-%20Irreplaceable
2007,Big Girls don't cry,Fergie,Fergie - Big Girls Don't Cry (Personal) (Official Music Video),agrXgrAgQ0U,https://www.youtube.com/results?search_query=Fergie%20-%20Big%20Girls%20Don%27t%20Cry%20%28Personal%29%20%28Official%20Music%20Video%29
2007,What goes around comes around,Justin Timberlake,What Goes Around...Comes Around (Official Video),TOrnUquxtwA,https://www.youtube.com/results?search_query=What%20Goes%20Around...Comes%20Around%20%28Official%20Video%29
2007,U + Ur Hand,Pink,P!NK - U + Ur Hand,YUtHjOvPKT0,https://www.youtube.com/results?search_query=P%21NK%20-%20U%20%2B%20Ur%20Hand
2008,Bleeding Love,Leona Lewis,Leona Lewis - Bleeding Love (Official Video),Vzo-EL_62fQ,https://www.youtube.com/results?search_query=Leona%20Lewis%20-%20Bleeding%20Love%20%28Official%20Video%29
2008,Don’t Stop the Music,Rihanna,Rihanna - Don't Stop The Music,yd8jh9QYfEs,https://www.youtube.com/results?search_query=Rihanna%20-%20Don%27t%20Stop%20The%20Music
2008,Closer,Ne-Yo,Ne-Yo - Closer (Official Music Video),z_aC5xPQ2f4,https://www.youtube.com/results?search_query=Ne-Yo%20-%20Closer%20%28Official%20Music%20Video%29
2008,So What,Pink,P!nk - So What (Official Video),FJfFZqTlWrQ,https://www.youtube.com/results?search_query=P%21nk%20-%20So%20What%20%28Official%20Video%29
2008,No One,Alicia Keys,Alicia Keys - No One (Official Music Video),rywUS-ohqeE,https://www.youtube.com/results?search_query=Alicia%20Keys%20-%20No%20One%20%28Official%20Music%20Video%29
2009,Sky and Sand,Paul Kalkbrenner,Paul Kalkbrenner - Sky and Sand (Official Music Video),8ybFb_wKlvQ,https://www.youtube.com/results?search_query=Paul%20Kalkbrenner%20-%20Sky%20and%20Sand%20%28Official%20Music%20Video%29
2009,Deep Fear,Sideckick,Sidekick - Deep Fear,6cch3DYMUmI,https://www.youtube.com/results?search_query=Sidekick%20-%20Deep%20Fear
2009,Empire State of Mind,Jay-Z,JAŸ-Z - Empire State Of Mind ft. Alicia Keys,vk6014HuxcE,https://www.youtube.com/results?search_query=JA%C5%B8-Z%20-%20Empire%20State%20Of%20Mind%20ft.%20Alicia%20Keys
2009,Hey Hey,Dennis Ferrer,DENNIS FERRER - Hey Hey [Official Video],ZqXTtRXDPrw,https://www.youtube.com/results?search_query=DENNIS%20FERRER%20-%20Hey%20Hey%20%5BOfficial%20Video%5D
2009,Day n Nite,Kid Cudi,Kid Cudi vs. Crookers - Day 'n' Night (Official Video),WSWrepLjTKc,https://www.youtube.com/results?search_query=Kid%20Cudi%20vs.%20Crookers%20-%20Day%20%27n%27%20Night%20%28Official%20Video%29
2010,Superman,Black Coffee,Superman,w6-tR3PKCHA,https://www.youtube.com/results?search_query=Superman
2010,Just the way you are,Bruno Mars,Bruno Mars - Just The Way You Are (Official Music Video),LjhCEhWiKXk,https://www.youtube.com/results?search_query=Bruno%20Mars%20-%20Just%20The%20Way%20You%20Are%20%28Official%20Music%20Video%29
2010,Canoa,Gregor Salto,DJ Gregory & Gregor Salto - Canoa,xC5ECftsajo,https://www.youtube.com/results?search_query=DJ%20Gregory%20%26%20Gregor%20Salto%20-%20Canoa
2010,Love the way you lie,Eminem,Eminem - Love The Way You Lie ft. Rihanna,uelHwf8o7_U,https://www.youtube.com/results?search_query=Eminem%20-%20Love%20The%20Way%20You%20Lie%20ft.%20Rihanna
